QR ID,QR Title,QR Description,Permalink,Type,Redirection,PNG Image,SVG Image
2962560,Partido 61,Cargar los puntos del partido 61,http://uqr.to/1rhxc,url,https://torneo.sejama.com.ar/partido/61/editar,https://app.qrcodekit.com/qrs/2962560.png,https://app.qrcodekit.com/qrs/2962560.svg
2962559,Partido 60,Cargar los puntos del partido 60,http://uqr.to/1rhxb,url,https://torneo.sejama.com.ar/partido/60/editar,https://app.qrcodekit.com/qrs/2962559.png,https://app.qrcodekit.com/qrs/2962559.svg
2962558,Partido 59,Cargar los puntos del partido 59,http://uqr.to/1rhxa,url,https://torneo.sejama.com.ar/partido/59/editar,https://app.qrcodekit.com/qrs/2962558.png,https://app.qrcodekit.com/qrs/2962558.svg
2962557,Partido 58,Cargar los puntos del partido 58,http://uqr.to/1rhx9,url,https://torneo.sejama.com.ar/partido/58/editar,https://app.qrcodekit.com/qrs/2962557.png,https://app.qrcodekit.com/qrs/2962557.svg
2962556,Partido 57,Cargar los puntos del partido 57,http://uqr.to/1rhx8,url,https://torneo.sejama.com.ar/partido/57/editar,https://app.qrcodekit.com/qrs/2962556.png,https://app.qrcodekit.com/qrs/2962556.svg
2962555,Partido 56,Cargar los puntos del partido 56,http://uqr.to/1rhx7,url,https://torneo.sejama.com.ar/partido/56/editar,https://app.qrcodekit.com/qrs/2962555.png,https://app.qrcodekit.com/qrs/2962555.svg
2962554,Partido 55,Cargar los puntos del partido 55,http://uqr.to/1rhx6,url,https://torneo.sejama.com.ar/partido/55/editar,https://app.qrcodekit.com/qrs/2962554.png,https://app.qrcodekit.com/qrs/2962554.svg
2962553,Partido 54,Cargar los puntos del partido 54,http://uqr.to/1rhx5,url,https://torneo.sejama.com.ar/partido/54/editar,https://app.qrcodekit.com/qrs/2962553.png,https://app.qrcodekit.com/qrs/2962553.svg
2962552,Partido 53,Cargar los puntos del partido 53,http://uqr.to/1rhx4,url,https://torneo.sejama.com.ar/partido/53/editar,https://app.qrcodekit.com/qrs/2962552.png,https://app.qrcodekit.com/qrs/2962552.svg
2962551,Partido 52,Cargar los puntos del partido 52,http://uqr.to/1rhx3,url,https://torneo.sejama.com.ar/partido/52/editar,https://app.qrcodekit.com/qrs/2962551.png,https://app.qrcodekit.com/qrs/2962551.svg
2962550,Partido 51,Cargar los puntos del partido 51,http://uqr.to/1rhx2,url,https://torneo.sejama.com.ar/partido/51/editar,https://app.qrcodekit.com/qrs/2962550.png,https://app.qrcodekit.com/qrs/2962550.svg
2962549,Partido 50,Cargar los puntos del partido 50,http://uqr.to/1rhx1,url,https://torneo.sejama.com.ar/partido/50/editar,https://app.qrcodekit.com/qrs/2962549.png,https://app.qrcodekit.com/qrs/2962549.svg
2962548,Partido 49,Cargar los puntos del partido 49,http://uqr.to/1rhx0,url,https://torneo.sejama.com.ar/partido/49/editar,https://app.qrcodekit.com/qrs/2962548.png,https://app.qrcodekit.com/qrs/2962548.svg
2962547,Partido 48,Cargar los puntos del partido 48,http://uqr.to/1rhwz,url,https://torneo.sejama.com.ar/partido/48/editar,https://app.qrcodekit.com/qrs/2962547.png,https://app.qrcodekit.com/qrs/2962547.svg
2962546,Partido 47,Cargar los puntos del partido 47,http://uqr.to/1rhwy,url,https://torneo.sejama.com.ar/partido/47/editar,https://app.qrcodekit.com/qrs/2962546.png,https://app.qrcodekit.com/qrs/2962546.svg
2962545,Partido 46,Cargar los puntos del partido 46,http://uqr.to/1rhwx,url,https://torneo.sejama.com.ar/partido/46/editar,https://app.qrcodekit.com/qrs/2962545.png,https://app.qrcodekit.com/qrs/2962545.svg
2962544,Partido 45,Cargar los puntos del partido 45,http://uqr.to/1rhww,url,https://torneo.sejama.com.ar/partido/45/editar,https://app.qrcodekit.com/qrs/2962544.png,https://app.qrcodekit.com/qrs/2962544.svg
2962543,Partido 44,Cargar los puntos del partido 44,http://uqr.to/1rhwv,url,https://torneo.sejama.com.ar/partido/44/editar,https://app.qrcodekit.com/qrs/2962543.png,https://app.qrcodekit.com/qrs/2962543.svg
2962542,Partido 43,Cargar los puntos del partido 43,http://uqr.to/1rhwu,url,https://torneo.sejama.com.ar/partido/43/editar,https://app.qrcodekit.com/qrs/2962542.png,https://app.qrcodekit.com/qrs/2962542.svg
2962541,Partido 42,Cargar los puntos del partido 42,http://uqr.to/1rhwt,url,https://torneo.sejama.com.ar/partido/42/editar,https://app.qrcodekit.com/qrs/2962541.png,https://app.qrcodekit.com/qrs/2962541.svg
2962540,Partido 41,Cargar los puntos del partido 41,http://uqr.to/1rhws,url,https://torneo.sejama.com.ar/partido/41/editar,https://app.qrcodekit.com/qrs/2962540.png,https://app.qrcodekit.com/qrs/2962540.svg
2962539,Partido 40,Cargar los puntos del partido 40,http://uqr.to/1rhwr,url,https://torneo.sejama.com.ar/partido/40/editar,https://app.qrcodekit.com/qrs/2962539.png,https://app.qrcodekit.com/qrs/2962539.svg
2962538,Partido 39,Cargar los puntos del partido 39,http://uqr.to/1rhwq,url,https://torneo.sejama.com.ar/partido/39/editar,https://app.qrcodekit.com/qrs/2962538.png,https://app.qrcodekit.com/qrs/2962538.svg
2962537,Partido 38,Cargar los puntos del partido 38,http://uqr.to/1rhwp,url,https://torneo.sejama.com.ar/partido/38/editar,https://app.qrcodekit.com/qrs/2962537.png,https://app.qrcodekit.com/qrs/2962537.svg
2962536,Partido 37,Cargar los puntos del partido 37,http://uqr.to/1rhwo,url,https://torneo.sejama.com.ar/partido/37/editar,https://app.qrcodekit.com/qrs/2962536.png,https://app.qrcodekit.com/qrs/2962536.svg
2962535,Partido 36,Cargar los puntos del partido 36,http://uqr.to/1rhwn,url,https://torneo.sejama.com.ar/partido/36/editar,https://app.qrcodekit.com/qrs/2962535.png,https://app.qrcodekit.com/qrs/2962535.svg
2962534,Partido 35,Cargar los puntos del partido 35,http://uqr.to/1rhwm,url,https://torneo.sejama.com.ar/partido/35/editar,https://app.qrcodekit.com/qrs/2962534.png,https://app.qrcodekit.com/qrs/2962534.svg
2962533,Partido 34,Cargar los puntos del partido 34,http://uqr.to/1rhwl,url,https://torneo.sejama.com.ar/partido/34/editar,https://app.qrcodekit.com/qrs/2962533.png,https://app.qrcodekit.com/qrs/2962533.svg
2962532,Partido 33,Cargar los puntos del partido 33,http://uqr.to/1rhwk,url,https://torneo.sejama.com.ar/partido/33/editar,https://app.qrcodekit.com/qrs/2962532.png,https://app.qrcodekit.com/qrs/2962532.svg
2962531,Partido 32,Cargar los puntos del partido 32,http://uqr.to/1rhwj,url,https://torneo.sejama.com.ar/partido/32/editar,https://app.qrcodekit.com/qrs/2962531.png,https://app.qrcodekit.com/qrs/2962531.svg
2962530,Partido 31,Cargar los puntos del partido 31,http://uqr.to/1rhwi,url,https://torneo.sejama.com.ar/partido/31/editar,https://app.qrcodekit.com/qrs/2962530.png,https://app.qrcodekit.com/qrs/2962530.svg
2962529,Partido 30,Cargar los puntos del partido 30,http://uqr.to/1rhwh,url,https://torneo.sejama.com.ar/partido/30/editar,https://app.qrcodekit.com/qrs/2962529.png,https://app.qrcodekit.com/qrs/2962529.svg
2962528,Partido 29,Cargar los puntos del partido 29,http://uqr.to/1rhwg,url,https://torneo.sejama.com.ar/partido/29/editar,https://app.qrcodekit.com/qrs/2962528.png,https://app.qrcodekit.com/qrs/2962528.svg
2962527,Partido 28,Cargar los puntos del partido 28,http://uqr.to/1rhwf,url,https://torneo.sejama.com.ar/partido/28/editar,https://app.qrcodekit.com/qrs/2962527.png,https://app.qrcodekit.com/qrs/2962527.svg
2962526,Partido 27,Cargar los puntos del partido 27,http://uqr.to/1rhwe,url,https://torneo.sejama.com.ar/partido/27/editar,https://app.qrcodekit.com/qrs/2962526.png,https://app.qrcodekit.com/qrs/2962526.svg
